Order ID,Order Date,Customer ID,Category,Sales,Quantity,Profit,Discount
CA-2016-152156,2016-11-08,CG-12520,Furniture,261.96,2,41.9136,0.0
CA-2016-152156,2016-11-08,CG-12520,Furniture,731.94,3,219.582,0.0
CA-2016-138688,2016-06-12,DV-13045,Office Supplies,14.62,2,6.8714,0.0
US-2015-108966,2015-10-11,SO-20335,Furniture,957.5775,5,-383.031,0.45
US-2015-108966,2015-10-11,SO-20335,Office Supplies,22.368,2,2.5164,0.2
CA-2014-115812,2014-06-09,BH-11710,Furniture,48.86,7,14.1694,0.0
CA-2014-115812,2014-06-09,BH-11710,Office Supplies,7.28,4,1.9656,0.0
CA-2014-115812,2014-06-09,BH-11710,Technology,907.152,6,90.7152,0.2
CA-2014-115812,2014-06-09,BH-11710,Office Supplies,18.504,3,5.7825,0.2
CA-2014-115812,2014-06-09,BH-11710,Office Supplies,114.9,5,34.47,0.0
CA-2014-115812,2014-06-09,BH-11710,Furniture,1706.184,9,85.3092,0.2
CA-2014-115812,2014-06-09,BH-11710,Technology,911.424,4,68.3568,0.2
CA-2017-114412,2017-04-15,AA-10480,Office Supplies,15.552,3,5.4432,0.2
CA-2016-161389,2016-12-05,IM-15070,Office Supplies,407.976,3,132.5922,0.2
US-2015-118983,2015-11-22,HP-14815,Office Supplies,68.81,5,-123.858,0.8
US-2015-118983,2015-11-22,HP-14815,Office Supplies,2.544,3,-3.816,0.8
CA-2014-105893,2014-11-11,PK-19075,Office Supplies,665.88,6,13.3176,0.0
CA-2014-167164,2014-05-13,AG-10270,Office Supplies,55.5,2,9.99,0.0
CA-2014-143336,2014-08-27,ZD-21925,Office Supplies,8.56,2,2.4824,0.0
CA-2014-143336,2014-08-27,ZD-21925,Technology,213.48,3,16.011,0.2
CA-2014-143336,2014-08-27,ZD-21925,Office Supplies,22.72,4,7.384,0.2
CA-2016-137330,2016-12-09,KB-16585,Office Supplies,19.46,7,5.0596,0.0
